customer_rank,arrears_at,identified_doc,career,pref,sex,region,bill_updage_count,id,domain,campaign,contract_type,entry_age,age,payway,arrears_count,amount,paid_flg,selling_method
70,99,1,11,24,#,C,1,960118201,0,L,2,999,0,2,0,1007,0,1
100,99,1,11,**,2,C,0,973000116,0,L,1,44,47,4,0,830,0,1
10,8,1,12,1,2,D,1,970022841,0,a,1,34,20,2,5,7776,0,1
80,99,1,16,40,1,T,1,242867706,500,L,1,28,30,4,0,324,0,1
90,99,1,12,**,1,K,0,615858805,0,L,1,41,50,4,0,44845,0,1
100,4,1,#,14,1,T,0,976998498,0,L,1,34,37,2,8,324,1,1
50,99,8,12,23,1,C,1,953813450,0,a,1,15,23,2,0,120,0,1
60,99,1,12,**,2,H,0,972545647,0,L,1,22,26,2,0,2280,0,1
80,99,99,#,44,2,Q,0,901385880,0,L,1,38,56,2,0,1,0,1
70,99,1,#,24,1,C,1,505230960,0,L,1,37,56,2,0,1590,0,1
20,99,1,#,41,2,Q,0,982177429,0,L,1,19,17,3,0,1928,0,1
80,99,1,#,14,1,T,0,305758437,0,L,1,41,54,2,0,214,0,1
80,99,10,11,13,2,T,1,954167986,0,L,1,32,38,2,0,42901,0,1
30,99,1,12,**,2,Q,1,252588680,500,L,1,42,42,2,0,240,0,1
60,99,1,11,**,2,Q,0,906139352,0,L,1,26,36,2,0,4920,0,1
90,99,1,#,2,2,H,0,204971955,0,a,1,14,26,4,0,400,0,1
60,99,1,11,4,1,H,0,988724136,0,L,1,49,24,4,0,5182,0,1
80,99,1,12,26,1,K,0,991005362,0,L,1,29,30,4,0,2940,0,1
50,99,1,#,14,1,T,1,250260431,0,L,1,52,54,2,0,700,0,1
50,99,1,#,10,1,T,0,315242148,0,a,1,51,69,2,0,1,0,1
100,99,1,#,22,1,C,0,513866673,0,L,1,19,35,2,0,50200,0,1
70,99,1,11,17,1,R,1,955480898,0,a,1,34,41,2,0,2144,0,1
60,99,1,11,**,1,T,0,986751984,0,L,1,29,30,2,0,12000,0,1
50,99,1,12,**,2,N,1,975667261,0,a,1,55,61,4,0,3818,0,1
80,99,1,11,17,1,R,0,980744671,500,#,1,30,33,4,0,480,0,0
60,99,1,#,7,2,H,0,203991664,0,R,1,37,50,2,0,240,0,1
110,99,1,11,13,1,T,1,941367950,0,L,1,20,27,4,0,500,0,1
100,99,1,12,**,1,T,0,987520076,500,L,1,51,52,4,0,324,0,1
3,8,1,12,**,1,N,0,984110244,0,L,1,30,32,2,5,540,0,1
90,99,17,#,13,2,T,0,942576954,0,L,1,21,27,4,0,3240,0,1
0,7,1,#,30,1,K,0,959875263,0,L,1,34,38,2,6,380,1,1
100,99,99,12,23,1,C,0,515699770,0,L,1,40,51,4,0,432,0,1
50,99,1,12,14,2,T,1,988377436,0,a,1,29,33,2,0,4353,0,1
60,99,1,#,**,2,C,1,951532594,0,L,1,52,58,2,0,10640,0,1
60,99,1,#,**,2,K,0,606441320,0,a,1,12,25,3,0,1840,0,1
40,99,8,11,13,2,H,1,240110839,0,L,1,30,30,1,0,864,0,1
100,99,1,#,8,1,T,0,301232525,0,L,1,22,42,4,0,1999,0,1
100,11,1,#,33,1,N,0,804573470,0,L,1,54,19,2,2,648,1,1
110,99,10,#,28,2,K,0,606045893,0,L,1,33,44,4,0,99,0,1
100,99,6,#,1,2,D,0,945644085,0,L,1,37,44,2,0,324,0,1
3,99,1,12,8,2,T,0,989392388,0,L,1,26,28,4,0,1360,0,1
50,99,1,11,12,1,T,1,979156589,0,L,1,45,50,2,0,108,0,1
70,99,1,12,44,1,Q,1,995057989,0,L,1,40,41,4,0,500,0,1
80,99,1,11,**,1,K,1,977015261,500,#,1,40,42,4,0,700,0,0
40,99,22,#,6,2,H,0,954051676,0,L,1,18,23,2,0,3335,0,1
40,6,17,11,4,2,H,1,955258180,0,a,1,19,27,2,1,15230,0,1
100,99,8,#,29,2,K,0,804743277,0,L,1,12,22,2,0,1000,0,1
50,12,1,#,**,1,C,0,508851486,0,L,1,23,32,2,1,2280,0,1
80,99,1,11,24,2,C,1,516484647,0,L,1,34,42,4,0,529,0,1
30,99,1,11,**,2,T,1,257613680,0,a,1,72,72,4,0,1620,0,1
110,99,1,11,29,2,K,1,958707961,0,L,1,41,48,4,0,1008,0,1
50,10,1,11,**,1,T,1,956023260,0,a,1,50,57,2,2,50000,0,1
60,99,1,12,23,1,C,0,946380851,0,L,1,39,51,3,0,16540,0,1
100,99,1,#,11,2,T,1,305109419,0,L,1,35,28,4,0,980,0,1
3,5,1,#,8,1,T,1,958145670,0,L,1,19,24,3,8,480,0,1
130,99,1,12,23,2,C,0,515838997,0,L,1,37,47,4,0,120,0,1
50,99,17,12,13,2,T,1,970827781,0,L,1,23,27,2,0,4636,0,1
3,10,1,11,**,2,T,0,965883434,0,L,1,24,29,2,3,240,1,1
80,99,1,12,29,1,K,0,250690959,0,L,1,26,27,4,0,3065,0,1
70,99,1,#,21,1,C,1,943595743,0,L,1,42,21,4,0,1058,0,1
90,99,8,#,20,1,T,0,316883966,0,a,1,25,39,4,0,1,0,1
60,99,1,#,12,1,T,0,946758798,0,L,1,46,52,2,0,4780,0,1
110,99,1,#,13,2,T,0,314676594,0,L,1,32,49,4,0,1100,0,1
100,99,1,11,27,2,K,0,951597666,0,a,1,29,37,4,0,5616,0,1
70,99,1,11,24,2,T,1,998113826,0,L,1,33,34,4,0,1382,0,1
100,99,1,12,27,2,K,0,607268039,0,L,1,41,48,2,0,250,0,1
50,99,1,#,**,1,T,1,977645482,0,L,1,33,36,2,0,540,0,1
50,99,1,#,**,2,K,1,252662015,500,L,1,30,31,2,0,2020,0,1
100,10,1,#,**,2,T,0,962163070,0,a,1,37,22,3,3,324,1,1
100,99,17,#,37,1,S,1,970491123,0,a,1,15,21,4,0,1967,0,1
80,99,1,11,13,1,T,1,995759527,0,L,1,29,29,4,0,1774,0,1
110,99,1,11,35,2,N,0,941746694,0,a,1,38,47,4,0,130,0,1
40,9,1,#,**,1,R,0,955138258,0,a,1,16,23,2,1,8920,0,1
50,99,20,12,17,1,K,1,607509667,0,L,1,26,34,2,0,540,0,1
80,99,1,12,13,1,T,1,966748778,0,L,1,24,29,2,0,12180,0,1
20,99,1,12,19,2,T,1,251792402,0,L,1,50,17,4,0,1058,0,1
100,99,1,#,10,2,T,0,301502187,0,a,1,22,42,2,0,6560,0,1
0,3,1,#,**,2,H,0,990500933,500,L,1,35,16,4,6,972,0,1
100,99,1,11,13,2,T,1,945452103,0,L,1,24,30,4,0,2700,0,1
3,7,1,12,**,2,T,0,992649661,500,L,1,53,54,2,6,1500,0,1
60,99,8,#,40,2,Q,1,904077778,0,a,1,14,31,3,0,936,0,1
5,99,26,#,11,2,T,0,253481157,0,a,1,39,41,4,0,240,0,1
3,10,1,#,23,1,C,0,509382459,0,L,1,50,57,3,3,400,1,1
80,99,1,11,40,1,Q,1,246506135,0,L,1,30,32,4,0,700,0,1
100,99,1,#,27,1,K,1,962226654,0,L,1,45,52,4,0,540,0,1
110,99,99,#,40,2,Q,0,904814595,0,L,1,20,34,4,0,120,0,1
100,99,1,16,13,2,T,0,993013218,500,L,1,45,46,4,0,540,0,1
100,99,1,#,**,1,T,0,252783749,500,9,1,50,50,4,0,360,0,#
110,99,1,12,**,1,T,0,965005831,0,L,1,32,36,4,0,540,0,1
3,4,1,11,46,2,T,0,954461097,0,L,1,21,27,4,7,490,1,1
30,10,8,#,27,2,K,2,965712235,0,a,1,17,50,3,3,1110,1,1
5,99,99,#,40,1,Q,0,254260330,0,R,1,61,61,4,0,1,0,1
20,99,99,#,43,1,Q,0,982398125,0,L,1,44,18,4,0,240,0,1
50,99,1,#,**,1,K,0,605617154,0,L,1,15,65,2,0,6180,0,1
100,99,1,#,12,2,D,0,100470499,0,a,1,21,41,3,0,1684,0,1
100,99,1,#,40,1,K,0,603736320,0,L,1,16,34,4,0,324,0,1
60,99,17,#,27,1,K,0,615103517,0,L,1,15,26,2,0,480,0,1
80,99,1,#,**,1,T,0,243415719,500,L,1,59,59,4,0,120,0,1
70,99,1,#,**,2,T,1,957956423,0,L,1,55,19,2,0,2660,0,1
100,99,99,#,34,2,N,0,804781181,0,L,1,41,16,4,0,324,0,1
100,99,99,#,43,2,Q,1,904673914,0,L,1,30,43,2,0,4700,0,1
100,99,1,12,**,1,T,0,952064118,0,a,1,61,69,2,0,648,0,1
60,99,1,12,14,2,T,1,989220807,0,L,1,45,46,2,0,3300,0,1
100,99,1,11,20,2,T,1,948735574,0,L,1,21,26,4,0,905,0,1
100,99,1,#,10,1,T,0,940093381,0,L,1,36,46,2,0,7020,0,1
80,99,1,#,40,2,C,1,514704366,0,L,1,22,35,2,0,2179,0,1
60,99,6,11,27,2,K,1,958759133,0,a,1,25,33,4,0,130,0,1
10,3,28,#,13,1,T,1,959924030,0,a,1,18,25,4,5,1740,1,1
100,99,1,11,13,2,T,0,941611012,0,L,1,34,41,4,0,648,0,1
100,99,1,11,**,1,T,0,972376756,0,a,1,18,23,3,0,540,0,1
3,5,1,#,27,1,T,0,959027905,0,a,1,23,30,4,7,25690,0,1
60,99,1,11,**,1,T,0,971260874,0,L,1,45,49,2,0,480,0,1
60,99,1,11,34,1,N,1,250927477,500,L,1,33,34,4,0,540,0,1
80,99,1,11,13,2,T,1,995241989,0,L,1,36,37,4,0,2071,0,1
90,99,1,#,20,2,T,0,251444477,500,L,1,35,36,4,0,130,0,1
100,99,1,11,13,1,T,0,940987446,0,L,1,34,40,4,0,324,0,1
100,99,1,#,12,1,T,0,986703162,500,L,1,62,64,4,0,1814,0,1
20,99,1,12,**,2,D,0,988938540,0,L,1,37,45,4,0,1,1,1
50,11,1,#,11,1,T,0,303427752,0,L,1,25,44,2,2,120,0,1
100,99,8,12,1,2,D,0,240306110,500,L,1,29,29,2,0,324,0,1
