id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign
969950407,1,2,34,2,2,8,11,0,H,31,1,L
992316485,1,2,31,11,2,1,#,0,T,29,1,L
946458490,1,2,49,24,2,1,#,0,C,40,1,a
992725431,1,2,43,**,2,1,11,500,K,42,1,L
250257247,1,1,28,**,4,1,16,0,Q,28,1,L
973918365,1,2,51,**,4,1,12,0,N,48,1,L
607433951,2,#,0,27,2,1,11,0,T,999,1,0
266974559,1,2,16,46,2,6,#,0,Q,16,1,a
994289528,1,2,40,14,4,27,#,0,T,39,61,P
989091448,1,2,59,**,2,1,12,0,T,65,1,R
978965455,1,2,40,47,2,1,#,500,Q,37,1,L
964755201,1,2,50,**,2,1,#,0,T,45,1,L
340259545,1,1,56,**,4,1,#,0,T,49,1,L
943845295,2,#,0,35,2,1,#,0,T,999,0,L
941913848,1,1,46,13,2,1,11,0,T,37,1,a
944904862,1,1,49,1,3,1,#,0,D,43,1,L
245601822,1,1,28,21,2,1,11,0,C,26,1,L
317483567,1,2,40,13,4,99,#,0,T,30,1,L
957224925,1,1,79,33,3,99,#,0,N,73,1,L
635019248,1,2,48,26,2,1,12,100,K,43,1,L
953476652,1,2,24,14,4,8,11,0,T,19,1,L
263105406,1,2,31,13,4,1,11,0,T,30,1,a
800353108,1,1,65,34,2,99,#,0,N,43,1,a
984838942,1,2,30,40,4,1,#,0,Q,28,1,M
260972770,1,2,17,**,4,1,#,500,T,40,1,L
988638111,1,2,29,28,3,1,11,0,K,27,1,L
251998622,1,2,49,45,3,1,11,0,Q,47,1,L
260449867,1,2,20,**,4,25,12,500,K,20,1,L
606125503,1,2,16,27,4,99,#,0,K,33,1,L
259914824,1,1,45,**,1,1,12,0,T,45,1,a
259005654,2,#,0,29,2,1,11,0,K,999,1,L
969786075,1,1,66,17,4,1,#,0,R,64,1,M
403293383,1,1,54,13,4,1,#,0,S,41,1,L
947972377,1,1,34,14,4,1,11,0,T,30,1,L
306305502,1,1,65,14,4,99,#,0,T,54,1,L
955185181,1,1,21,**,2,1,#,0,T,18,1,L
254902193,2,#,0,13,1,3,#,0,T,999,#,9
244859453,1,1,48,**,2,1,#,500,K,48,1,L
963672088,1,2,52,27,4,1,#,0,K,50,#,#
990265697,1,1,40,11,4,1,12,0,T,39,1,L
977933735,1,2,21,8,4,17,#,10,T,18,#,#
614283941,1,1,44,25,4,99,#,0,K,30,1,R
968486306,1,1,23,**,2,1,12,0,T,20,1,L
103281692,1,2,53,1,3,2,#,0,D,36,1,L
990118253,1,1,58,**,90,1,12,0,T,57,1,L
256600437,1,2,35,11,2,1,#,500,T,35,1,L
327792128,1,1,63,10,2,1,#,0,T,55,1,L
940142218,1,1,20,14,3,8,#,0,T,12,1,L
205164875,1,1,29,1,3,17,11,0,D,22,1,L
972608221,2,#,0,13,90,2,#,320,Q,999,#,#
959688555,1,2,56,**,4,1,11,0,T,52,1,L
967000997,2,#,0,23,2,1,11,0,C,999,1,L
988209906,1,2,46,**,4,1,11,0,T,45,1,L
264224891,2,#,0,40,2,3,#,0,T,999,#,9
980598828,1,1,46,**,3,1,#,501,T,44,1,L
986551880,1,2,47,21,2,1,#,0,C,45,1,L
970000441,1,2,33,**,4,1,11,0,R,29,1,L
969489839,1,1,26,**,2,1,11,0,Q,23,1,L
241811000,1,1,17,**,2,1,#,0,T,48,1,L
950711907,1,2,48,13,2,1,#,10,T,44,#,#
987984642,1,1,63,**,3,1,#,0,Q,61,1,L
308698940,1,1,51,40,2,1,#,0,T,40,1,a
953575127,1,2,42,14,2,1,#,0,T,38,1,M
971276013,1,2,43,14,2,1,#,10,T,40,#,#
942425255,2,#,0,37,2,1,#,0,T,999,0,L
982069449,1,1,18,22,4,1,#,0,C,42,1,L
254913144,1,2,46,11,2,1,16,500,T,46,1,L
958093955,1,2,24,12,4,17,11,0,T,20,1,L
952087905,2,#,0,27,2,16,#,0,K,999,0,L
306760485,2,#,0,10,2,99,#,0,T,999,0,0
967696841,1,2,14,14,2,1,12,0,T,33,1,L
988734152,1,1,43,23,4,1,#,0,C,42,1,L
951292020,1,2,45,26,2,1,#,0,K,41,1,L
961776051,1,2,17,14,4,1,11,0,T,45,1,L
245045341,1,1,21,27,2,1,#,0,K,19,1,R
257227644,1,2,36,11,4,1,#,500,T,36,1,L
200099680,1,2,49,4,2,1,#,0,H,30,1,0
328233878,1,1,28,11,4,1,#,0,T,21,1,L
955556100,1,1,44,13,4,1,11,0,T,36,1,L
251735762,1,2,29,45,2,1,#,0,Q,29,1,R
903989087,1,2,68,47,4,1,#,0,Q,53,0,L
994748462,1,2,56,26,4,1,12,500,K,56,1,L
993010898,1,2,57,13,3,8,#,0,T,56,1,L
318693744,1,2,34,35,4,1,#,0,N,25,0,9
979032323,1,1,78,31,2,1,#,0,N,76,1,L
258765454,1,2,33,43,4,1,#,0,Q,33,1,R
963139935,1,1,18,**,4,1,#,0,C,44,1,L
973116253,2,#,0,27,2,3,#,0,T,999,1,L
248360970,2,#,0,13,4,3,#,0,T,999,0,9
972617478,1,2,23,**,2,1,#,0,T,21,1,L
948725567,1,1,25,13,2,1,11,0,T,21,1,L
243180642,1,2,25,11,4,25,12,0,T,25,1,L
963845096,1,1,26,27,3,1,#,0,K,24,1,L
980726289,1,1,19,29,4,17,12,0,K,17,1,L
967265797,1,1,25,26,2,8,#,0,K,23,#,#
248129923,1,1,26,23,4,1,11,0,T,26,1,L
988644482,1,1,53,**,4,1,#,500,T,52,1,R
614832166,1,2,32,37,2,1,#,0,K,21,1,L
249925743,2,#,0,27,1,3,#,0,T,999,51,9
243533232,1,2,15,14,2,8,#,0,T,52,1,L
966198266,1,2,24,14,4,1,#,0,T,21,1,L
603588078,1,2,36,29,4,1,#,0,K,18,1,L
270641697,1,1,22,47,2,1,12,0,Q,22,1,a
262777733,1,1,53,23,4,1,12,0,C,24,1,a
953640225,1,2,63,13,4,6,#,0,T,58,61,P
962663875,2,#,0,27,90,3,12,0,T,999,51,#
994521560,1,1,66,31,4,1,12,0,T,65,1,R
603426709,1,1,43,33,4,1,#,0,K,25,1,L
507798572,1,1,39,23,2,1,#,0,C,25,1,L
957958031,1,2,29,22,4,10,#,0,T,25,1,L
953950929,1,1,73,**,3,1,#,10,K,69,#,#
244501561,1,2,26,**,4,1,12,0,Q,25,1,L
969886389,2,#,0,14,2,1,#,0,T,999,51,#
254959661,1,2,48,13,4,1,12,0,T,51,1,a
906258590,1,1,48,40,2,1,12,0,Q,39,1,L
340703632,1,1,56,37,2,1,11,0,T,48,1,L
961607147,1,1,21,20,4,6,11,0,T,44,1,L
983419192,1,1,22,13,4,26,11,0,T,44,1,L
255016750,2,#,0,13,2,3,#,0,T,999,51,9
993031856,1,2,27,**,2,1,#,0,K,26,1,L
