id,amount,paid_flg
100372775,4320,0
103228010,160,0
103774403,240,0
103968506,120,0
200428790,2398,0
200551354,31403,0
200582353,540,0
203274394,120,0
204247489,55000,0
204501002,957,0
204610862,2032,0
204679004,273,0
205233198,400,0
205290807,130,0
240278803,480,0
240526144,600,1
240657583,324,0
240715574,1080,0
240775191,540,0
240799092,1560,0
240894506,480,0
241003403,840,0
241240097,240,1
241279733,226,0
241422559,2160,0
241946221,100,0
242086782,1821,0
242096080,1637,0
242214993,324,0
242290244,480,1
242585391,16600,0
242691608,2065,0
242867706,324,0
243022830,3000,0
243127546,421,0
243269506,580,0
243405894,240,0
243509738,529,0
243865826,16764,0
243894918,240,0
244083109,3600,0
244088338,4810,0
244119351,4800,0
244329108,240,0
244329998,1652,0
244536644,9020,1
244540046,960,0
244563230,480,0
244666509,3410,0
244890927,302,0
245371838,240,0
245379192,2200,0
245380828,120,1
245791546,480,0
246026585,120,0
246202085,540,0
246231727,864,0
246327507,150,0
246438753,23600,0
247331444,4940,0
247380521,240,0
247562366,1090,0
247591197,110,0
247598833,480,0
247742850,3470,0
248453055,3200,0
248618913,880,0
248636700,500,0
248661883,5000,1
248742838,1000,1
248938698,1059,0
249057703,40000,0
249101786,240,0
249109428,2690,0
249946609,2634,0
250264119,1000,0
250295935,2240,0
250397955,400,0
250467384,2800,0
250666696,900,0
250736198,960,0
250884346,756,0
251220869,2610,0
251311700,15722,1
251353574,2700,1
251835977,32800,0
251885107,3456,1
252309656,1461,0
252565043,1674,0
252727196,240,0
252801410,2280,0
252866479,2408,0
253405668,1080,0
253467252,1300,0
253528616,1922,0
253657067,780,0
253661899,11540,0
253860722,2052,0
254000764,1,0
254144330,1080,0
254850587,4820,0
254856709,240,0
254959661,1998,0
254979577,1,0
254985344,999,0
254997586,360,0
255228925,120,0
255661665,594,0
255867888,480,0
255938131,1,0
256046863,240,0
256629158,600,0
256845142,594,0
257095156,400,0
257202338,2960,0
257211486,240,0
257559954,1,0
257684385,1007,0
257920210,4660,0
258892476,540,0
258916309,29620,0
301301562,120,0
306355671,1200,0
306742330,324,0
306770550,324,0
306895168,7602,0
307934484,1007,1
307948589,33144,0
308808760,2400,0
308814486,324,0
309166244,9649,0
309763065,373,0
309870239,10000,0
313117179,1080,0
313833398,2900,0
313854767,2800,0
313967287,324,0
314515110,2999,0
314522011,120,0
314687808,324,0
315982089,120,0
315983685,1000,0
316989825,4390,0
317685598,221,0
317811495,2254,0
318497591,5000,1
318868155,2007,0
319010285,1350,0
323412450,2489,0
323840861,594,0
324071982,480,0
324457802,324,0
325143992,9000,0
325658120,324,0
326041355,2640,0
326228208,8411,0
326490380,25200,0
327080880,840,0
327130640,500,0
327597886,1007,1
327897114,5000,0
328568213,6500,0
328671524,324,0
340256836,15540,0
340379929,2220,0
340397328,780,0
340404851,100,0
403008771,324,0
403299251,120,0
500774564,45900,0
500910579,302,0
103281692,315,0
103320431,700,0
103326374,540,0
103845019,2279,0
104168502,120,0
104388641,1,0
200802971,240,0
201164192,324,0
203066048,1000,0
203644888,120,0
204215480,6092,1
204667489,3380,0
204938286,730,1
205102510,7260,0
205198481,3800,0
205303024,324,0
240138271,1830,0
240168963,840,0
240454330,2360,0
240502127,5288,0
240662540,432,0
240925664,27760,0
240976088,970,1
241138860,324,0
241171464,1000,0
241291448,1922,0
241953948,5410,0
241964706,3278,0
242737305,324,0
242767704,840,0
242803798,960,0
243207663,296,0
243231988,1,1
243374300,750,0
243510497,750,0
243718556,1661,0
244171992,980,1
244535275,594,0
244719146,490,0
245011137,260,0
245795386,540,0
246068658,2640,0
246282204,3950,0
246291651,240,0
246774410,1800,0
246944808,700,0
246953134,120,0
247152488,75850,0
247170141,663,1
247333363,324,0
247572421,840,0
248670482,1,0
248867223,1007,0
248902651,121,0
248930615,864,0
248950836,1007,0
249100092,78400,0
249331375,4968,0
249352286,2520,0
249804869,586,0
249849593,240,0
250250234,450,0
250314916,5645,0
250667636,540,1
250690959,3065,0
250756331,3000,1
250904504,860,0
250974827,1,0
250984495,38980,0
251159646,1446,0
251346197,120,0
251469774,600,0
251488730,415,0
251590558,1156,0
251792402,1058,0
252238803,19220,0
252536914,980,1
253082158,1950,1
253119068,91,0
253687464,2149,0
253834137,1,0
254276921,6182,0
254308223,360,1
254483243,120,0
255316619,1307,0
255671523,540,0
255677010,1,0
255858853,21,0
256127788,1,0
256272686,813,0
256316183,1407,0
256813193,720,0
257022178,1,0
257227644,324,0
257252661,216,0
257269539,400,0
257371842,1,0
257584202,1,0
257860774,240,0
257903756,1,0
257909411,834,0
257930290,9076,0
258516411,120,0
258537077,5122,0
258664698,370,0
259701493,1,0
259879742,1000,0
300607888,170,0
303427752,120,0
304006242,2002,0
304632479,130,0
306195894,480,0
307199403,840,1
308763747,120,0
309058595,1728,0
309924447,1,0
310320575,240,0
313333744,324,0
314244216,324,0
314440564,4200,0
315823241,1187,0
316928649,1380,0
317522119,594,0
