age,customer_rank,arrears_count,sex,region,contract_type,selling_method,campaign,arrears_at,identified_doc,career,entry_age,amount,domain,pref,id,payway,paid_flg,bill_updage_count
41,10,3,2,D,1,1,L,4,6,12,70,3000,0,1,246437627,2,1,1
40,80,0,2,Q,1,1,L,99,8,12,30,1188,0,41,906519556,4,0,1
34,100,0,2,D,1,1,L,99,1,11,29,324,0,1,963217362,4,0,0
33,100,0,2,T,1,1,L,99,1,11,27,3300,0,27,952876822,4,0,0
27,100,0,1,T,1,1,L,99,1,11,20,324,0,**,963444024,2,0,0
28,70,0,1,T,1,1,L,99,1,#,23,29180,0,11,948967354,2,0,0
41,50,0,1,T,1,1,L,99,1,#,30,864,0,13,308251980,2,0,0
21,90,0,2,C,1,1,a,99,1,#,14,3361,0,23,958721230,2,0,1
34,100,0,2,T,1,1,L,99,99,#,37,302,0,13,950384907,4,0,0
51,100,4,2,K,1,1,L,4,12,12,48,4860,0,27,982426495,2,0,0
35,110,0,2,Q,1,1,L,99,99,#,21,1930,0,47,905602790,2,0,0
45,70,0,2,Q,1,1,a,99,1,#,44,700,0,40,247599269,4,0,1
22,3,3,1,T,1,1,a,10,1,11,19,324,0,**,240184900,2,0,0
55,50,0,1,T,1,1,a,99,1,#,46,1000,0,15,947503735,2,0,0
32,120,0,2,T,1,1,L,99,99,#,22,1380,0,13,307161372,4,0,0
26,90,0,1,T,1,1,L,99,99,11,22,72580,0,12,962098720,4,0,0
48,110,0,1,T,1,1,L,99,1,#,28,355,0,11,310079338,2,0,1
51,80,0,2,C,1,1,a,99,1,#,49,3400,0,**,243346537,4,0,0
26,3,7,2,T,1,1,L,6,1,#,45,240,0,14,989784909,2,0,0
36,110,0,2,T,1,1,L,99,1,11,27,324,0,8,317682518,4,0,0
26,10,7,1,T,1,1,L,3,1,11,20,10000,0,12,953023807,2,0,1
78,3,0,2,T,1,1,L,99,8,#,65,3000,0,20,316859847,2,0,0
35,5,4,2,H,1,1,L,6,1,16,33,120,500,6,989285345,2,1,0
34,60,0,2,Q,1,1,L,99,1,#,22,365,0,40,905605870,2,0,0
30,0,5,1,T,1,1,L,3,1,#,28,240,0,14,980824415,2,0,0
55,100,0,2,T,1,1,L,99,1,#,47,972,0,12,945278014,4,0,0
31,70,0,1,D,1,1,L,99,1,#,24,4880,0,1,104318636,2,0,0
36,50,0,1,H,1,1,L,99,1,#,35,960,500,2,986346821,2,0,0
45,100,0,2,T,1,1,L,99,8,#,40,48400,0,11,984614903,4,0,0
30,110,0,1,T,1,1,L,99,1,11,26,999,0,12,964820920,4,0,1
32,3,0,1,Q,1,1,L,99,1,#,23,1007,0,11,941345360,4,1,1
24,30,0,1,N,1,1,a,99,1,12,24,100,0,**,258766276,2,0,0
41,100,0,2,R,1,1,a,99,1,11,32,855,0,**,944514133,4,0,0
44,70,0,1,C,1,1,a,99,1,#,28,5250,0,23,507083111,2,0,1
30,70,0,2,K,1,1,L,99,1,#,27,2000,0,23,969072723,2,0,1
48,3,4,1,D,1,0,#,9,1,#,48,3000,500,**,247739083,2,0,0
61,50,0,1,C,1,1,L,99,1,#,56,980,0,24,979151109,2,0,0
26,50,0,2,H,1,1,L,99,1,#,21,960,0,4,959465775,2,0,0
0,100,0,#,K,2,1,L,99,1,12,999,324,0,26,607429307,2,0,0
29,100,0,1,T,1,1,a,99,1,#,15,1080,0,13,317471306,4,0,1
41,0,5,1,T,1,1,L,4,1,12,36,3320,0,**,980264222,2,0,0
0,100,0,#,T,2,1,L,99,1,11,999,324,0,8,994510908,4,0,0
23,20,1,1,Q,1,1,a,10,1,#,22,2548,0,40,246990146,2,0,0
47,30,1,2,K,1,1,a,8,6,#,39,3500,0,27,954075348,3,0,0
37,110,0,1,Q,1,0,L,99,99,#,24,620,0,12,905394537,4,0,1
38,5,0,1,K,1,#,9,99,1,#,38,594,500,**,256192319,4,0,1
71,100,0,1,T,1,1,L,99,10,12,68,302,0,12,969495053,2,0,0
34,10,5,1,Q,1,1,L,7,99,#,26,2149,0,23,941190162,2,1,1
42,80,0,2,T,1,1,L,99,1,11,41,600,0,13,251469774,4,0,0
27,50,0,1,C,1,1,L,99,1,12,24,6300,0,23,980733240,2,0,1
25,100,0,2,T,1,1,L,99,10,#,18,324,0,13,942944647,4,0,0
75,30,0,2,T,1,1,L,99,8,16,75,600,0,13,254825205,2,0,0
50,90,0,1,C,1,0,L,99,1,#,41,16848,0,23,508688637,4,0,0
83,50,0,2,K,1,1,L,99,8,12,83,980,500,27,996322814,4,0,0
35,50,0,2,K,1,1,L,99,1,12,66,1,0,**,985095937,2,0,0
41,100,0,2,D,1,1,a,99,1,#,21,1684,0,12,100470499,3,0,0
23,3,4,2,Q,1,1,a,9,1,12,19,1610,0,40,988601045,4,0,0
46,70,0,1,T,1,1,L,99,1,12,40,1500,0,**,940405813,2,0,0
41,30,0,2,C,1,#,9,99,1,#,43,1,500,24,256833088,2,0,0
49,30,0,2,C,1,1,R,99,1,#,49,1,500,24,252938185,2,0,0
46,100,0,1,T,1,1,L,99,8,#,23,324,0,14,300976940,2,0,0
51,3,3,1,Q,1,1,L,10,20,#,40,345,0,40,906096363,3,1,0
43,70,0,1,C,1,1,L,99,1,#,22,240,0,23,500580638,2,0,0
40,60,0,1,T,1,1,L,99,8,#,39,1168,500,15,995321882,4,0,0
34,100,0,2,T,1,1,L,99,10,#,29,21224,0,13,950788357,4,0,0
28,100,0,1,T,1,1,L,99,1,12,24,1000,0,**,963081662,2,0,0
29,90,0,2,T,1,1,L,99,1,#,24,400,0,12,952617273,4,0,1
22,90,0,2,T,1,1,a,99,1,12,22,1922,0,11,253528616,2,0,0
25,60,0,2,K,1,1,a,99,1,#,12,1840,0,**,606441320,3,0,0
0,20,1,#,D,1,1,0,10,2,#,28,160,0,1,103228010,2,0,0
66,100,0,2,K,1,1,L,99,99,#,49,648,0,27,613923832,4,0,0
40,70,0,2,T,1,1,L,99,1,#,21,5364,0,8,313111041,2,0,1
19,20,1,2,T,1,1,L,6,8,12,19,540,0,13,251791746,3,0,1
15,20,0,1,C,1,#,9,99,1,#,64,19940,500,23,252303299,3,0,0
27,50,0,2,T,1,1,a,99,1,12,24,2453,0,**,995166723,2,0,2
18,20,0,2,T,1,1,a,99,1,12,31,370,0,**,959807092,2,0,0
36,100,0,1,Q,1,1,L,99,1,#,23,324,0,40,905954222,4,0,0
26,10,3,2,T,1,1,L,5,1,11,23,240,0,**,996741378,3,1,1
31,120,0,1,K,1,1,L,99,1,#,23,3600,0,12,607461278,4,0,0
17,20,0,1,T,1,1,L,99,10,#,40,960,0,13,990849345,4,0,0
45,90,0,2,T,1,1,L,99,1,11,42,1920,0,13,966153171,4,0,0
51,100,0,2,Q,1,1,a,99,1,11,41,324,0,**,907155766,4,0,0
54,5,0,2,T,1,1,L,99,1,12,54,240,0,**,995406965,4,0,0
49,100,0,1,T,1,1,L,99,1,11,42,9340,0,**,607552973,4,0,0
46,170,0,2,T,1,1,L,99,1,#,34,5400,0,14,307610845,2,0,0
58,90,0,2,T,1,1,L,99,1,#,53,360,0,13,982845665,4,0,0
28,80,0,2,K,1,1,L,99,1,#,37,2140,0,27,605514718,4,0,2
41,50,0,1,C,1,1,R,99,1,#,40,960,0,23,244257914,2,0,0
33,70,0,1,Q,1,1,a,99,1,11,29,240,0,46,994594533,4,0,0
55,100,0,1,N,1,1,L,99,1,12,55,324,0,**,244194994,4,0,0
32,70,0,2,K,1,1,a,99,1,#,15,740,0,28,613545992,2,0,0
55,100,0,2,D,1,1,L,99,1,11,49,1100,0,1,945581327,4,0,1
25,100,0,1,T,1,1,L,99,1,#,19,650,0,14,951001662,4,0,1
27,60,0,2,T,1,1,L,99,1,12,21,1782,0,46,954434110,2,0,1
21,60,0,2,T,1,1,L,99,1,11,47,864,0,12,981867824,3,0,0
22,70,0,2,T,1,1,L,99,1,12,38,31415,0,12,242225140,4,0,1
44,100,0,2,H,1,1,L,99,1,#,29,324,0,15,203483574,2,0,0
63,40,1,2,D,1,1,L,11,1,12,61,1,0,**,989944188,3,0,0
37,100,0,1,C,1,1,L,99,1,#,21,993,0,22,505643292,90,0,1
33,100,0,1,Q,1,1,L,99,1,11,30,1080,0,40,975354401,4,0,0
21,50,0,2,T,1,1,a,99,1,#,45,250,0,11,962060909,2,0,0
16,0,6,2,H,1,1,L,3,1,#,35,972,500,**,990500933,4,0,0
24,10,9,1,K,1,1,a,4,1,11,18,130,0,**,964816408,4,0,1
20,0,0,1,K,1,1,a,99,1,#,38,2160,0,27,973654586,2,0,0
19,100,0,2,K,1,1,L,99,1,#,47,324,0,28,971618824,4,0,0
21,100,5,1,T,1,1,a,5,1,12,18,60,0,27,243857988,3,1,0
42,100,0,2,K,1,1,L,99,1,#,28,302,0,28,606031928,4,0,0
24,60,0,1,T,1,1,L,99,1,#,18,2028,0,13,947642866,2,0,1
51,80,0,1,T,1,1,L,99,1,15,49,3680,0,11,243349685,4,0,1
51,90,0,2,T,1,1,L,99,1,11,45,960,0,**,952597489,4,0,0
32,90,0,2,C,1,1,L,99,1,11,35,4600,0,23,243709729,4,0,1
23,5,6,1,K,1,1,L,3,1,12,22,3908,0,29,988846533,2,0,1
24,130,0,2,K,1,1,a,99,99,#,38,1080,0,27,614336610,4,0,1
57,50,2,1,T,1,1,a,10,1,11,50,50000,0,**,956023260,2,0,1
42,90,0,2,T,1,1,L,99,1,#,42,240,500,**,244343507,4,0,0
16,20,0,1,K,1,1,L,99,1,12,40,120,500,**,991365115,4,0,0
58,90,0,1,K,1,1,a,99,1,#,49,8292,0,27,947165023,3,0,1
63,50,0,2,T,1,1,L,99,1,12,63,12000,0,**,249035555,4,0,0
67,100,0,2,C,1,1,a,99,1,12,62,280,0,22,983759644,4,0,0
