bill_updage_count,paid_flg,payway,region,selling_method,arrears_count,identified_doc,entry_age,contract_type,id,domain,campaign,pref,amount,arrears_at,customer_rank,career,sex,age
,,4,Q,1,,1,63,1,945603032,0,a,**,,,,#,1,71
,,4,C,1,,1,36,1,516443049,0,L,23,,,,#,2,16
,,2,C,1,,1,62,1,509352316,0,L,23,,,,11,1,70
,,4,T,0,,1,999,2,967796660,0,#,40,,,,#,#,0
,,2,T,1,,1,54,1,955630362,0,L,**,,,,#,1,59
0,0,2,T,1,0,1,47,1,980513474,0,L,11,324,99,100,12,1,19
,,4,T,1,,8,61,1,261653287,0,a,13,,,,12,2,61
,,2,T,1,,8,51,1,981595419,500,L,14,,,,#,2,20
0,0,2,K,1,6,8,23,1,967114591,0,L,28,600,7,0,11,1,29
,,4,D,1,,1,41,1,952183011,0,L,1,,,,12,2,46
,,90,T,1,,2,999,2,984031607,0,L,22,,,,#,#,0
,,4,Q,0,,99,21,1,901479005,0,0,40,,,,#,2,38
,,3,H,1,,1,44,1,955006771,0,L,**,,,,#,1,47
,,4,C,1,,1,31,1,514074594,0,L,23,,,,#,1,45
,,4,T,#,,1,38,1,267076105,500,9,**,,,,#,1,38
,,2,C,0,,26,34,1,943364800,0,#,23,,,,#,2,40
,,2,T,0,,1,51,1,315295358,0,L,8,,,,#,1,67
,,4,C,1,,99,54,1,274273262,500,L,23,,,,#,2,82
,,2,C,1,,17,18,1,953590879,0,L,22,,,,#,1,23
,,2,T,1,,1,36,1,965188594,0,L,11,,,,#,1,38
,,4,C,1,,1,45,1,251124058,0,a,**,,,,#,2,17
,,2,Q,1,,1,52,1,983359089,0,L,44,,,,#,1,53
,,2,T,1,,1,34,1,245290729,0,L,**,,,,#,2,36
,,4,Q,1,,1,33,1,985757393,0,L,43,,,,16,2,35
0,0,4,K,1,0,99,36,1,601207988,0,L,28,1218,99,150,#,1,57
,,2,T,1,,21,24,1,990342836,500,R,12,,,,#,2,28
,,2,T,1,,1,999,2,326653250,0,L,13,,,,#,2,999
,,2,Q,1,,1,43,1,962941919,0,M,40,,,,#,1,45
,,2,K,#,,1,37,1,978547288,10,#,27,,,,#,1,38
0,0,2,C,1,0,1,19,1,513866673,0,L,22,50200,99,100,#,1,35
,0,2,K,1,,1,19,1,253661899,0,a,27,11540,,,12,1,19
,,4,K,1,,1,42,1,606819177,0,L,27,,,,11,2,51
,,2,Q,1,,8,22,1,966576521,0,M,47,,,,#,1,26
0,0,4,K,1,0,8,18,1,253568279,0,a,28,880,99,20,#,2,20
,0,4,K,1,,17,18,1,954272847,0,a,13,490,,,#,1,25
,0,4,C,1,,1,32,1,987580433,0,L,21,240,,,11,1,33
,,3,N,1,,99,63,1,803922038,0,0,32,,,,#,2,75
,,2,K,1,,1,56,1,992962479,0,L,26,,,,#,2,58
,,4,T,1,,1,44,1,988738243,0,R,14,,,,#,1,45
,,2,R,1,,8,21,1,982836849,0,L,17,,,,#,1,23
,,2,Q,61,,8,20,1,973572191,0,P,40,,,,#,1,22
,,4,Q,1,,1,20,1,965692696,0,L,**,,,,11,2,23
,,4,S,1,,1,62,1,975484707,0,L,**,,,,11,1,65
0,0,2,K,1,0,1,24,1,603136338,0,L,25,1080,99,90,#,2,42
,,4,R,1,,1,24,1,961510171,0,L,**,,,,#,1,28
1,0,2,T,1,0,1,44,1,252788371,500,L,**,4104,99,50,#,2,46
1,0,2,T,1,0,1,37,1,248651998,500,L,13,598,99,2,#,2,11
,,4,T,1,,1,38,1,967570943,0,L,11,,,,#,1,40
,,1,N,1,,99,30,1,981115558,99,#,13,,,,#,1,37
0,0,2,K,1,0,1,53,1,985933860,0,L,**,439,99,50,12,1,54
,,2,T,#,,99,999,2,979121168,0,#,13,,,,#,#,0
,,4,T,1,,1,46,1,308816968,0,L,**,,,,12,2,54
0,0,4,Q,1,0,1,15,1,953610009,0,a,19,864,99,100,#,2,22
,,4,T,1,,1,21,1,972275565,0,L,**,,,,12,1,23
,,2,S,1,,99,18,1,400144175,0,L,38,,,,#,1,37
,,4,T,1,,1,72,1,270800367,0,L,**,,,,#,1,72
,,1,T,51,,3,999,2,980110562,0,#,13,,,,#,#,0
,,2,T,#,,8,73,1,979441281,500,#,12,,,,#,1,75
,,4,K,#,,1,24,1,963881212,0,#,**,,,,#,2,26
,,4,T,1,,1,36,1,975148323,0,L,14,,,,12,2,37
,,4,S,61,,99,61,1,949083993,0,P,38,,,,#,1,68
,,2,T,1,,1,67,1,940520947,0,R,**,,,,#,1,74
,,4,T,1,,1,55,1,977255858,0,M,13,,,,#,1,57
,,2,T,1,,1,37,1,976925240,0,L,13,,,,#,1,40
,,4,T,1,,1,63,1,993340545,0,L,14,,,,#,2,65
,,2,H,1,,1,40,1,953706491,0,L,**,,,,#,2,44
1,0,4,T,1,0,17,18,1,959694178,0,a,14,7460,99,70,#,2,25
,,4,Q,1,,1,32,1,987321172,0,L,40,,,,#,1,35
1,0,2,K,1,0,1,16,1,606870248,0,L,**,324,99,80,#,2,25
,,2,T,1,,1,38,1,972523748,100,L,**,,,,11,2,15
,,4,T,#,,1,41,1,971421367,0,#,13,,,,#,2,44
,,1,T,#,,3,999,2,260836798,0,9,13,,,,#,#,0
,,2,T,1,,17,17,1,328009758,0,L,10,,,,#,2,25
