region,id,campaign,contract_type,payway,paid_flg,arrears_at,pref,career,sex,arrears_count,domain,amount,age,selling_method,entry_age,customer_rank,identified_doc,bill_updage_count
Q,997537247,#,1,2,0,99,43,#,1,0,500,540,29,#,28,100,1,0
C,252053564,L,1,4,0,99,**,12,1,0,500,1940,62,1,60,50,1,0
C,516712466,L,1,2,0,99,23,#,1,0,0,980,60,1,50,70,1,0
Q,245065032,L,1,4,0,99,40,11,2,0,500,360,33,1,33,80,1,0
H,981777376,a,1,2,0,99,5,#,2,0,0,1137,19,1,44,20,1,1
T,247630761,L,1,2,0,99,8,#,2,0,500,120,40,1,40,50,1,0
T,972256549,#,2,1,0,99,28,#,#,0,0,1836,0,51,999,100,3,0
D,989940128,L,1,4,0,99,1,#,1,0,500,1100,46,1,44,80,1,0
,951591390,,,,0,,,,,,,600,,,,,,
,967431348,,,,0,,,,,,,130,,,,,,
T,245549359,L,1,2,0,99,**,#,1,0,500,1296,75,1,75,50,1,1
,985233292,,,,0,,,,,,,940,,,,,,
T,256776972,a,1,4,0,99,**,#,1,0,0,3817,50,1,50,30,1,1
N,982811252,L,1,2,1,9,**,11,1,4,0,324,41,1,39,100,1,0
T,316859847,L,1,2,0,99,20,#,2,0,0,3000,78,1,65,3,8,0
C,987179910,L,1,4,0,99,22,#,2,0,0,250,46,1,44,100,1,0
,980612468,,,,0,,,,,,,840,,,,,,
T,240123431,L,1,4,0,99,14,12,2,0,0,540,42,1,42,90,1,1
T,981449927,L,1,2,0,99,20,#,2,0,0,1318,18,1,49,20,1,0
R,700513841,L,1,2,0,99,16,#,1,0,0,120,44,1,27,90,1,0
Q,905546162,L,1,4,0,99,27,#,2,0,0,540,31,1,19,100,1,0
K,603619949,a,1,4,0,99,26,#,1,0,0,216,45,1,24,100,1,0
T,327985408,L,1,4,0,99,13,#,2,0,0,492,52,1,44,100,1,0
,245663032,,,,0,,,,,,,590,,,,,,
K,945710672,L,1,4,0,99,**,#,2,0,0,324,21,1,46,110,1,0
T,941241448,a,1,4,0,99,12,11,2,0,0,324,40,1,31,100,1,0
,986324130,,,,0,,,,,,,120,,,,,,
,993071004,,,,0,,,,,,,1180,,,,,,
D,985976506,L,1,2,1,10,1,11,1,3,0,648,24,1,25,100,1,0
C,506000441,L,1,2,0,99,23,#,1,0,0,34880,45,1,27,60,1,0
K,972364410,a,1,4,0,99,27,#,2,0,0,2000,20,1,56,20,1,1
C,516416986,L,1,4,0,99,23,#,1,0,0,1100,57,1,47,100,1,0
,942995492,,,,0,,,,,,,3240,,,,,,
D,983681716,L,1,4,0,99,1,12,2,0,0,302,50,1,48,100,1,0
T,943579847,a,1,4,0,99,**,#,1,0,0,10597,31,1,22,90,1,1
C,996797998,L,1,4,0,99,23,11,2,0,0,720,45,1,45,100,1,0
T,307951897,L,1,4,0,99,14,#,1,0,0,1000,19,1,36,20,1,0
D,940318785,L,1,2,1,99,1,#,2,0,0,980,40,1,31,50,8,0
Q,255677010,L,1,3,0,99,**,#,2,0,500,1,70,1,70,5,1,0
Q,988744524,L,1,4,0,99,14,12,1,0,0,38678,20,1,19,80,1,1
,988439870,,,,0,,,,,,,480,,,,,,
