id,customer_rank,arrears_at,arrears_count,bill_updage_count
100470499,100,99,0,0
104011076,3,10,3,0
104282170,100,99,0,0
200025901,40,10,1,1
200127389,110,99,0,0
203444236,80,99,0,0
204636432,100,99,0,0
204678106,100,99,0,0
204740382,60,99,0,0
204968562,70,99,0,2
205283899,100,99,0,0
205289155,60,99,0,2
240306110,100,99,0,0
240669397,20,99,0,0
240731914,80,99,0,1
241014141,20,99,0,1
241232447,100,99,0,0
241293228,80,99,0,0
241318986,3,5,8,0
241449623,50,99,0,1
241500863,100,11,1,0
241556194,50,99,0,1
241612821,20,99,0,1
241962713,60,99,0,0
242061426,70,99,0,1
242159771,20,99,0,0
242178562,80,99,0,0
242215965,50,99,0,0
242225291,50,99,0,0
242738295,2,99,0,0
242936074,20,99,0,1
243285928,3,4,7,1
243682218,100,99,0,0
243985314,0,4,6,1
244023541,3,4,3,0
244277904,0,3,6,0
244378524,50,99,0,0
245139374,50,99,0,1
245695249,3,99,0,0
245944376,100,99,0,0
246060337,50,99,0,0
246140089,100,99,0,0
246225507,50,99,0,1
246467287,5,99,0,1
247034658,80,99,0,1
247310507,50,99,0,1
248152368,50,99,0,0
248204249,70,99,0,0
248389976,50,99,0,1
248442203,60,99,0,1
248669563,40,99,0,0
248768087,3,99,0,1
248771697,50,99,0,0
248938345,40,99,0,0
248997299,80,99,0,1
249457827,90,99,0,0
249503571,50,99,0,1
249539091,80,99,0,1
249738181,50,99,0,0
250189549,30,99,0,0
250307266,3,10,3,0
250564992,30,99,0,0
250800074,100,99,0,0
250927477,60,99,0,1
250986915,70,99,0,1
251043906,60,99,0,0
251332920,80,99,0,1
251393214,20,99,0,1
251450521,30,8,1,1
251465486,100,99,0,0
251803494,90,99,0,1
251862128,50,99,0,0
252116884,20,99,0,0
252293859,100,99,0,0
252469387,30,99,0,0
252574570,60,99,0,1
252615015,50,99,0,1
252649921,80,99,0,1
254257984,70,99,0,0
254663307,80,99,0,1
254701787,100,99,0,0
254781894,5,99,0,0
254920768,100,3,3,0
255588298,3,99,0,0
255837398,80,99,0,1
255868739,20,99,0,1
256070650,50,99,0,0
256222171,30,99,0,0
256272007,30,99,0,0
256289966,5,99,0,0
257009389,0,3,1,0
257431002,30,99,0,0
257442280,30,99,0,1
258649890,30,99,0,0
258730958,20,99,0,0
258753891,30,99,0,0
258967693,100,99,0,0
259126793,5,99,0,0
259151641,30,99,0,0
259718504,30,99,0,0
259722964,3,99,0,0
300736390,80,99,0,1
303537095,130,99,0,1
303743641,90,99,0,0
304013594,100,99,0,0
304478969,100,99,0,0
305106536,70,99,0,1
305415583,50,99,0,0
309104954,60,99,0,1
309866371,20,99,0,0
309890784,5,99,0,0
310048753,80,99,0,0
313056304,100,10,3,0
313215120,100,99,0,0
313649552,70,99,0,0
314021690,5,3,9,0
314824287,50,99,0,0
314917540,100,99,0,0
316990563,100,99,0,0
317377115,50,99,0,0
317387366,100,99,0,0
317555598,90,99,0,0
323457865,80,99,0,1
323773272,90,99,0,0
323824699,60,99,0,0
323883076,50,99,0,0
324003512,70,99,0,0
325386775,100,99,0,0
325797925,110,99,0,0
326767597,60,9,1,1
326946670,80,99,0,1
327112626,100,99,0,0
327995253,10,5,4,0
328193530,90,99,0,1
328362977,100,99,0,0
340686333,100,99,0,0
400496664,100,8,1,0
403356308,50,99,0,0
403578297,90,99,0,1
500408689,100,99,0,0
503273975,110,99,0,0
504496450,100,99,0,0
504712343,100,99,0,0
505325604,100,99,0,0
505860895,50,99,0,0
508443021,50,99,0,0
508750642,50,99,0,1
508764355,90,99,0,1
509132810,100,3,8,0
513199896,100,99,0,2
513246117,90,99,0,0
513866673,100,99,0,0
515168359,100,99,0,0
515254014,3,3,9,1
515621050,60,99,0,1
515838997,130,99,0,0
515928435,3,5,7,0
516040963,100,99,0,0
600853190,110,99,0,0
100468898,100,99,0,0
103060973,20,6,4,0
103188307,100,99,0,0
103431809,100,99,0,0
103749530,50,11,1,0
104065191,50,99,0,0
104075937,50,99,0,0
104392134,100,99,0,0
200651217,100,99,0,0
200901066,0,3,10,0
200901574,70,99,0,1
203018536,100,99,0,0
203380683,100,99,0,0
203483574,100,99,0,0
204139232,3,10,3,0
204402610,40,10,3,0
204860714,60,99,0,1
205195782,70,99,0,2
240208564,50,99,0,0
240328633,100,99,0,0
240448568,100,99,0,0
240530413,100,99,0,0
