identified_doc,id,sex,bill_updage_count,paid_flg,selling_method,campaign,arrears_count,pref,arrears_at,age,region,career,contract_type,customer_rank,amount,entry_age,domain,payway
8,993733056,2,1,0,1,L,1,40,8,44,Q,11,1,10,120,42,0,2
1,904250327,2,1,1,1,L,5,45,3,39,Q,#,1,0,1366,22,0,2
1,994026517,2,0,0,1,L,0,20,99,42,T,#,1,90,820,40,500,4
1,952872130,2,0,0,1,a,1,**,9,23,C,12,1,40,1100,39,0,2
1,955016249,2,1,0,1,L,0,32,99,33,N,12,1,100,226,28,0,4
1,616147708,2,0,0,1,L,0,27,99,54,T,12,1,90,5889,47,0,4
1,204247489,1,1,0,1,a,0,13,99,46,H,#,1,180,55000,32,0,3
1,259202972,1,0,0,1,a,0,**,99,38,T,12,1,30,1,38,0,2
1,958707961,2,1,0,1,L,0,29,99,48,K,11,1,110,1008,41,0,4
6,303556382,2,0,0,1,L,0,**,99,43,T,#,1,100,2084,25,0,4
1,907474962,2,0,0,1,a,0,43,99,24,Q,#,1,100,324,33,0,2
1,614667592,2,0,0,1,L,0,27,99,40,K,#,1,100,302,25,0,4
1,614243171,1,0,0,1,L,0,27,99,41,K,#,1,100,324,25,0,4
8,948384411,2,0,0,1,L,0,40,99,30,Q,#,1,100,999,21,0,2
10,943247491,2,1,0,1,L,0,13,99,28,K,#,1,80,5400,20,0,4
1,953557649,1,1,0,1,L,0,**,99,23,H,#,1,50,335,15,0,4
1,963502978,2,0,0,1,L,0,13,99,28,T,11,1,70,730,24,0,4
1,994481119,2,0,0,1,L,1,47,9,48,Q,16,1,100,120,47,500,2
1,245560303,2,0,0,1,L,0,1,99,33,D,12,1,90,280,33,0,4
99,204383966,1,1,0,1,a,0,13,99,39,H,#,1,70,1080,25,0,2
17,945740978,2,0,0,1,L,2,27,7,24,K,#,1,100,648,17,0,2
10,950356427,2,0,0,1,a,0,27,99,40,N,11,1,110,6520,34,0,4
28,247960156,2,1,0,1,L,0,20,99,20,T,#,1,20,360,18,0,4
1,992206416,2,1,0,1,L,0,13,99,19,T,16,1,90,324,54,500,4
99,314316693,1,0,0,1,L,0,13,99,39,T,#,1,100,324,19,0,2
1,997549254,2,1,0,1,L,0,13,99,39,T,12,1,80,3672,39,0,4
1,977388461,1,1,0,1,L,0,12,99,35,T,#,1,90,240,33,0,4
1,956125674,1,0,0,1,L,0,13,99,27,T,#,1,100,324,22,0,2
6,997532186,2,0,0,1,L,0,23,99,24,C,#,1,90,720,23,500,4
1,103845019,2,1,0,1,L,0,1,99,22,D,#,1,50,2279,45,0,2
1,947546513,2,0,0,1,a,0,22,99,28,C,#,1,90,1090,20,0,90
1,254347750,1,0,0,1,L,0,14,99,47,T,16,1,30,500,47,500,4
1,962226654,1,1,0,1,L,0,27,99,52,K,#,1,100,540,45,0,4
1,977747755,1,0,0,1,L,0,4,99,54,T,12,1,90,1099,51,0,4
10,944216552,2,1,0,1,a,0,13,99,32,T,12,1,130,250,23,0,4
1,942607839,2,0,0,1,L,0,**,99,30,T,11,1,100,294,23,0,90
1,964721236,2,0,0,1,L,0,**,99,63,T,11,1,100,324,57,0,4
99,301314629,2,0,0,1,L,0,13,99,47,T,#,1,130,1400,27,0,4
1,204911090,1,0,0,1,L,0,**,99,25,H,#,1,90,540,15,0,4
1,994859086,2,0,0,1,L,0,13,99,31,T,12,1,100,540,30,0,4
1,964040428,1,1,1,1,L,0,14,99,18,T,#,1,3,980,51,0,4
8,613506166,2,1,0,1,a,0,27,99,44,K,#,1,50,999,27,0,4
1,204740382,2,0,0,1,a,0,4,99,25,H,#,1,60,5720,13,0,2
1,962642578,2,0,0,1,L,0,7,99,38,H,#,1,70,20400,34,0,2
1,501042524,2,0,0,1,L,0,23,99,48,C,#,1,140,240,28,0,4
1,254856709,2,0,0,1,a,0,**,99,39,N,#,1,50,240,38,0,2
1,970962254,2,0,0,1,a,0,21,99,21,C,#,1,70,1660,46,0,2
1,400149803,1,0,0,1,a,0,36,99,51,S,#,1,140,980,30,0,4
8,952865514,2,0,0,1,a,3,27,10,25,K,#,1,100,920,17,0,2
1,205028813,2,0,0,1,L,0,7,99,36,H,#,1,70,1,28,0,2
1,960054345,1,0,0,1,L,1,**,4,24,T,11,1,20,360,20,0,4
1,247598833,2,0,0,1,L,0,13,99,43,T,#,1,50,480,43,500,2
1,985844449,2,1,0,1,L,0,**,99,63,K,11,1,50,594,62,500,4
17,947427624,2,1,0,1,L,0,23,99,25,C,11,1,70,100,19,0,3
1,256070822,1,0,0,1,a,0,22,99,37,C,#,1,30,120,37,0,4
1,988625413,2,0,0,1,L,0,14,99,41,T,#,1,40,480,40,0,2
1,977015261,1,1,0,0,#,0,**,99,42,K,11,1,80,700,40,500,4
1,247201339,2,1,0,1,a,0,7,99,17,H,#,1,20,19199,37,0,3
1,325330293,1,0,0,1,L,0,12,99,36,T,#,1,100,540,24,0,2
1,989431776,1,0,0,1,L,0,22,99,43,C,12,1,100,324,42,500,4
1,979865987,1,1,1,1,a,0,14,99,30,T,#,1,3,1007,25,0,4
1,308712710,#,0,0,1,L,0,40,99,0,Q,#,1,50,518,25,0,2
1,253812218,1,0,0,1,L,0,14,99,29,T,12,1,100,648,29,500,2
1,241811000,1,0,0,1,L,1,**,12,17,T,#,1,20,7640,48,0,2
1,249433746,1,0,0,1,L,0,**,99,46,T,11,1,30,250,46,0,4
1,244900035,1,1,0,1,L,0,40,99,24,Q,12,1,50,10580,24,0,1
1,942051794,1,0,0,1,L,0,2,99,45,H,#,1,100,205,38,0,2
1,987088891,2,1,0,1,a,0,38,99,33,S,12,1,60,335,29,0,2
1,992736390,2,1,0,1,L,0,27,99,30,K,12,1,90,980,29,0,4
99,323336416,2,0,0,1,L,0,12,99,57,T,#,1,130,988,41,0,4
1,259486013,2,0,0,1,L,0,**,99,31,N,11,1,30,240,31,500,4
28,252679712,2,0,0,1,L,0,27,99,65,K,12,1,30,1980,65,0,2
1,952446184,1,0,1,1,a,3,**,10,25,K,#,1,3,2520,17,0,2
10,969495053,1,0,0,1,L,0,12,99,71,T,12,1,100,302,68,0,2
1,963402551,1,1,0,1,a,0,11,99,27,T,11,1,90,1022,23,0,4
17,941336708,1,0,0,1,a,3,43,10,23,Q,#,1,3,648,14,0,4
12,983664903,1,1,0,1,L,0,23,99,7,C,12,1,2,980,13,0,2
99,323773272,1,0,0,1,a,0,13,99,56,T,#,1,90,3380,40,0,4
99,600893155,2,1,0,1,L,0,27,99,50,K,#,1,120,3078,29,0,4
99,993837628,2,1,0,1,R,0,12,99,58,T,#,1,90,324,55,0,4
28,248435734,2,1,0,1,L,0,1,99,22,D,12,1,30,5389,20,0,2
1,987023043,1,0,0,1,L,0,**,99,44,T,11,1,50,960,43,500,2
1,959465775,2,0,0,1,L,0,4,99,26,H,#,1,50,960,21,0,2
1,944973383,2,1,0,1,L,0,**,99,49,T,11,1,130,2080,43,0,2
1,960920196,1,0,0,1,L,0,27,99,35,T,#,1,50,309,31,0,2
1,246102826,2,0,0,1,L,0,25,99,43,K,11,1,3,980,43,500,2
1,250894723,1,0,0,1,a,0,**,99,54,Q,12,1,50,2200,52,0,4
1,954722673,2,0,0,1,L,0,19,99,38,T,12,1,110,3240,30,0,4
1,942832859,2,0,0,1,L,0,23,99,44,T,11,1,100,410,38,0,4
1,962923252,1,1,0,1,a,0,40,99,31,K,11,1,90,700,25,0,4
1,307583696,1,0,0,1,L,0,11,99,49,T,#,1,100,1188,39,0,2
1,246748963,2,0,0,1,L,0,13,99,39,T,#,1,90,1000,37,500,4
6,248703541,1,0,0,1,L,0,27,99,17,K,12,1,20,1862,26,500,4
1,250260431,1,1,0,1,L,0,14,99,54,T,#,1,50,700,52,0,2
1,100368031,1,1,0,1,a,0,1,99,67,D,#,1,50,756,47,0,2
1,992730854,1,0,0,1,L,0,**,99,63,Q,#,1,50,120,62,500,4
99,240363477,2,1,1,1,a,7,44,3,25,Q,12,1,0,2149,22,0,4
1,952192411,1,0,0,1,L,0,**,99,21,T,#,1,100,300,44,0,4
28,251590558,1,1,0,1,L,0,27,99,19,K,12,1,30,1156,19,0,2
1,986277569,1,1,0,1,L,0,11,99,40,T,#,1,50,135,38,0,2
1,963469485,2,1,0,1,a,0,27,99,20,K,11,1,20,1058,41,0,4
1,258518400,2,0,0,1,a,0,**,99,56,T,16,1,30,1,56,0,4
99,959040887,2,0,0,1,L,0,11,99,53,T,11,1,100,120,48,0,4
1,985963411,2,0,0,1,L,5,11,3,43,T,12,1,5,120,41,0,2
1,967131204,1,0,0,1,L,0,**,99,32,T,11,1,100,6290,28,0,4
1,241663597,2,0,0,1,L,0,11,99,39,T,11,1,50,1810,37,0,2
1,203341022,1,0,0,1,L,0,3,99,36,H,#,1,70,200,21,0,2
1,607407595,2,1,0,1,L,1,26,6,41,K,12,1,50,30,31,0,4
1,988015910,2,1,0,1,L,0,14,99,40,T,#,1,90,378,39,500,4
1,326541863,2,0,0,0,L,0,**,99,47,T,#,1,90,1200,37,0,4
99,905313187,1,1,0,1,L,0,40,99,47,Q,#,1,90,2697,33,0,4
1,600699897,2,0,0,1,L,0,29,99,62,K,#,1,50,130,38,0,2
6,308578598,1,1,1,1,a,0,11,99,32,T,#,1,40,39885,52,0,4
1,957883752,2,0,1,1,L,9,11,3,38,T,11,1,100,1164,31,0,3
1,960770905,1,1,0,1,a,0,**,99,50,T,12,1,100,2014,43,0,4
1,962669181,1,0,0,1,L,0,33,99,27,N,11,1,100,195,23,0,4
21,984605158,2,1,0,1,L,0,11,99,49,T,12,1,30,242,47,0,2
1,947440189,2,1,0,1,L,0,**,99,43,T,#,1,100,6807,37,0,4
1,973866351,1,0,0,1,a,3,33,10,27,N,#,1,50,20,22,0,4
1,240184900,1,0,0,1,a,3,**,10,22,T,11,1,3,324,19,0,2
1,251043906,1,0,0,#,9,0,**,99,32,T,12,1,60,360,31,500,4
99,971241882,1,0,0,1,L,0,13,99,44,T,12,1,90,600,41,0,4
1,256202769,1,0,0,1,R,0,**,99,79,K,#,1,5,1280,79,500,4
1,942145985,1,0,0,1,L,0,30,99,37,K,11,1,100,1080,28,0,2
8,985061199,2,0,0,1,L,8,10,4,33,T,12,1,3,1440,31,0,2
1,990782965,1,0,0,1,L,0,17,99,38,R,11,1,50,29200,37,0,2
1,969510513,2,0,0,1,L,0,14,99,37,T,11,1,100,324,33,0,4
27,990895427,1,0,0,1,L,0,13,99,30,T,#,1,50,2000,28,0,4
1,941953656,2,2,0,1,L,0,12,99,32,T,11,1,50,324,25,0,2
1,983827457,1,0,1,1,a,6,26,7,22,K,#,1,3,130,18,0,2
1,244345326,1,0,0,1,L,3,15,3,29,T,11,1,10,120,27,500,2
1,325501558,2,0,0,1,L,0,12,99,44,T,#,1,80,108,31,0,2
1,315080012,1,0,0,0,L,0,**,99,70,T,#,1,50,600,51,0,2
1,956916981,2,0,0,1,L,0,28,99,30,N,11,1,100,302,22,0,4
1,944997723,2,1,0,1,a,0,**,99,30,T,#,1,70,12287,21,0,2
8,963830627,2,0,0,1,L,0,12,99,44,T,11,1,50,100,41,0,2
1,248004286,2,1,0,1,a,0,9,99,28,T,12,1,50,226,33,0,4
1,513296983,1,0,0,1,a,0,23,99,47,C,#,1,60,2960,28,0,2
1,945720804,2,1,0,1,L,0,14,99,31,T,#,1,100,1058,25,0,4
99,603804920,2,1,0,1,L,0,28,99,60,K,#,1,50,560,42,0,4
99,943290552,2,1,0,1,L,0,13,99,35,T,#,1,120,1487,29,0,4
1,944289056,2,0,0,1,L,0,23,99,29,C,11,1,100,324,23,0,2
1,995559778,2,0,0,1,a,0,**,99,51,C,12,1,70,1320,48,0,3
99,614889051,2,0,0,1,L,0,14,99,58,K,#,1,100,324,45,0,4
1,245123542,2,1,0,1,a,0,13,99,20,T,11,1,20,432,18,0,4
1,606031928,2,0,0,1,L,0,28,99,42,K,#,1,100,302,28,0,4
1,966705239,#,0,1,1,L,9,13,3,0,T,12,2,100,324,999,0,2
